model,space,floor_mode,floor_setting,floor_cosine,mean_edge_sim,edges_kept_pct,isolated_nodes,resolution,min_size,n_keywords,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
embeddinggemma,raw,pct,0.0,0.0,0.7509,100.0,0,8.0,10,19801,148,0,0.0,458,116,0
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,1.0,1,19801,124,1011,5.11,1199,3,76
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,1.0,3,19801,72,1115,5.63,1199,168,24
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,1.0,10,19801,48,1199,6.06,1199,292,0
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,2.0,1,19801,148,1011,5.11,1052,4,78
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,2.0,3,19801,96,1115,5.63,1052,161,26
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,2.0,10,19801,70,1213,6.13,1052,216,0
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,4.0,1,19801,182,1011,5.11,719,47,79
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,4.0,3,19801,130,1115,5.63,719,125,27
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,4.0,10,19801,103,1217,6.15,719,155,0
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,8.0,1,19801,234,1011,5.11,488,52,81
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,8.0,3,19801,182,1115,5.63,488,83,29
embeddinggemma,raw,pct,25.0,0.6875,0.7509,75.0,1011,8.0,10,19801,153,1226,6.19,488,103,0
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,1.0,1,19801,397,2811,14.2,1016,2,334
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,1.0,3,19801,190,3225,16.29,1016,5,127
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,1.0,10,19801,63,3734,18.86,1016,217,0
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,2.0,1,19801,423,2811,14.2,701,3,335
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,2.0,3,19801,216,3225,16.29,701,5,128
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,2.0,10,19801,88,3739,18.88,701,165,0
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,4.0,1,19801,464,2811,14.2,477,3,339
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,4.0,3,19801,257,3225,16.29,477,9,132
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,4.0,10,19801,125,3767,19.02,477,106,0
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,8.0,1,19801,520,2811,14.2,302,3,350
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,8.0,3,19801,313,3225,16.29,302,15,143
embeddinggemma,raw,pct,50.0,0.7521,0.7509,50.0,2811,8.0,10,19801,170,3827,19.33,302,80,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,1.0,1,19801,49,0,0.0,1713,329,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,1.0,3,19801,49,0,0.0,1713,329,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,1.0,10,19801,49,0,0.0,1713,329,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,2.0,1,19801,78,0,0.0,716,224,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,2.0,3,19801,78,0,0.0,716,224,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,2.0,10,19801,78,0,0.0,716,224,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,4.0,1,19801,120,0,0.0,571,152,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,4.0,3,19801,120,0,0.0,571,152,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,4.0,10,19801,120,0,0.0,571,152,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,8.0,1,19801,175,0,0.0,380,96,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,8.0,3,19801,175,0,0.0,380,96,0
embeddinggemma,background,abs,0.0,0.0,0.5602,100.0,0,8.0,10,19801,175,0,0.0,380,96,0
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,1.0,1,19801,358,1993,10.07,1386,3,291
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,1.0,3,19801,185,2339,11.81,1386,5,118
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,1.0,10,19801,67,2815,14.22,1386,175,0
embeddinggemma,background,abs,0.5,0.5,0.5602,65.0,1993,2.0,1,19801,382,1993,10.07,592,3,292
