model,space,floor_mode,floor_setting,floor_cosine,mean_edge_sim,edges_kept_pct,isolated_nodes,resolution,min_size,n_keywords,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,4.0,3,19801,343,3747,18.92,329,6,199
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,4.0,10,19801,144,4599,23.23,329,80,0
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,8.0,1,19801,714,3123,15.77,274,3,523
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,8.0,3,19801,402,3747,18.92,274,8,211
qwen3_06b,background,abs,0.5,0.5,0.507,52.6,3123,8.0,10,19801,191,4666,23.56,274,60,0
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,1.0,1,19801,1483,8143,41.12,344,2,1355
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,1.0,3,19801,663,9783,49.41,344,4,535
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,1.0,10,19801,128,12012,60.66,344,33,0
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,2.0,1,19801,1496,8143,41.12,314,2,1354
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,2.0,3,19801,676,9783,49.41,314,4,534
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,2.0,10,19801,142,12010,60.65,314,36,0
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,4.0,1,19801,1522,8143,41.12,238,2,1358
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,4.0,3,19801,702,9783,49.41,238,4,538
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,4.0,10,19801,164,12034,60.77,238,31,0
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,8.0,1,19801,1558,8143,41.12,139,2,1367
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,8.0,3,19801,738,9783,49.41,139,4,547
qwen3_06b,background,abs,0.7,0.7,0.507,17.5,8143,8.0,10,19801,191,12095,61.08,139,29,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,1.0,1,19801,55,0,0.0,1293,294,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,1.0,3,19801,55,0,0.0,1293,294,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,1.0,10,19801,55,0,0.0,1293,294,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,2.0,1,19801,79,0,0.0,797,221,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,2.0,3,19801,79,0,0.0,797,221,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,2.0,10,19801,79,0,0.0,797,221,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,4.0,1,19801,106,0,0.0,417,179,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,4.0,3,19801,106,0,0.0,417,179,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,4.0,10,19801,106,0,0.0,417,179,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,8.0,1,19801,158,0,0.0,373,106,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,8.0,3,19801,158,0,0.0,373,106,0
qwen3_06b,background,pct,0.0,0.0,0.507,100.0,0,8.0,10,19801,158,0,0.0,373,106,0
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,1.0,1,19801,240,1329,6.71,915,3,169
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,1.0,3,19801,131,1547,7.81,915,13,60
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,1.0,10,19801,71,1836,9.27,915,201,0
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,2.0,1,19801,256,1329,6.71,942,3,167
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,2.0,3,19801,147,1547,7.81,942,44,58
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,2.0,10,19801,89,1820,9.19,942,164,0
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,4.0,1,19801,297,1329,6.71,447,5,171
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,4.0,3,19801,188,1547,7.81,447,47,62
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,4.0,10,19801,126,1847,9.33,447,131,0
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,8.0,1,19801,346,1329,6.71,334,9,176
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,8.0,3,19801,237,1547,7.81,334,47,67
qwen3_06b,background,pct,25.0,0.3653,0.507,75.0,1329,8.0,10,19801,170,1867,9.43,334,90,0
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,1.0,1,19801,655,3387,17.11,825,2,556
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,1.0,3,19801,313,4071,20.56,825,5,214
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,1.0,10,19801,99,4958,25.04,825,104,0
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,2.0,1,19801,680,3387,17.11,590,2,556
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,2.0,3,19801,338,4071,20.56,590,5,214
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,2.0,10,19801,124,4957,25.03,590,88,0
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,4.0,1,19801,713,3387,17.11,400,3,562
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,4.0,3,19801,371,4071,20.56,400,6,220
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,4.0,10,19801,151,4997,25.24,400,72,0
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,8.0,1,19801,765,3387,17.11,283,3,570
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,8.0,3,19801,423,4071,20.56,283,7,228
qwen3_06b,background,pct,50.0,0.5148,0.507,50.0,3387,8.0,10,19801,195,5046,25.48,283,60,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,1.0,1,19801,49,0,0.0,1768,297,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,1.0,3,19801,49,0,0.0,1768,297,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,1.0,10,19801,49,0,0.0,1768,297,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,2.0,1,19801,72,0,0.0,836,237,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,2.0,3,19801,72,0,0.0,836,237,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,2.0,10,19801,72,0,0.0,836,237,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,4.0,1,19801,106,0,0.0,585,166,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,4.0,3,19801,106,0,0.0,585,166,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,4.0,10,19801,106,0,0.0,585,166,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,8.0,1,19801,163,0,0.0,512,109,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,8.0,3,19801,163,0,0.0,512,109,0
bge_m3,raw,abs,0.0,0.0,0.7519,100.0,0,8.0,10,19801,163,0,0.0,512,109,0
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,1.0,1,19801,51,24,0.12,1684,285,1
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,1.0,3,19801,50,26,0.13,1684,287,0
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,1.0,10,19801,50,26,0.13,1684,287,0
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,2.0,1,19801,73,24,0.12,869,235,1
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,2.0,3,19801,72,26,0.13,869,237,0
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,2.0,10,19801,72,26,0.13,869,237,0
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,4.0,1,19801,107,24,0.12,597,178,1
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,4.0,3,19801,106,26,0.13,597,179,0
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,4.0,10,19801,106,26,0.13,597,179,0
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,8.0,1,19801,161,24,0.12,521,102,1
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,8.0,3,19801,160,26,0.13,521,102,0
bge_m3,raw,abs,0.5,0.5,0.7519,98.7,24,8.0,10,19801,160,26,0.13,521,102,0
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,1.0,1,19801,322,1556,7.86,1515,3,256
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,1.0,3,19801,163,1874,9.46,1515,6,97
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,1.0,10,19801,66,2279,11.51,1515,201,0
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,2.0,1,19801,341,1556,7.86,807,3,257
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,2.0,3,19801,182,1874,9.46,807,8,98
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,2.0,10,19801,84,2295,11.59,807,181,0
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,4.0,1,19801,375,1556,7.86,544,3,255
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,4.0,3,19801,216,1874,9.46,544,21,96
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,4.0,10,19801,120,2278,11.5,544,130,0
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,8.0,1,19801,425,1556,7.86,370,4,259
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,8.0,3,19801,266,1874,9.46,370,32,100
bge_m3,raw,abs,0.7,0.7,0.7519,69.8,1556,8.0,10,19801,166,2301,11.62,370,84,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,1.0,1,19801,49,0,0.0,1768,297,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,1.0,3,19801,49,0,0.0,1768,297,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,1.0,10,19801,49,0,0.0,1768,297,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,2.0,1,19801,72,0,0.0,836,237,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,2.0,3,19801,72,0,0.0,836,237,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,2.0,10,19801,72,0,0.0,836,237,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,4.0,1,19801,106,0,0.0,585,166,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,4.0,3,19801,106,0,0.0,585,166,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,4.0,10,19801,106,0,0.0,585,166,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,8.0,1,19801,163,0,0.0,512,109,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,8.0,3,19801,163,0,0.0,512,109,0
bge_m3,raw,pct,0.0,0.0,0.7519,100.0,0,8.0,10,19801,163,0,0.0,512,109,0
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,1.0,1,19801,262,1238,6.25,1406,3,199
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,1.0,3,19801,142,1478,7.46,1406,7,79
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,1.0,10,19801,63,1804,9.11,1406,211,0
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,2.0,1,19801,288,1238,6.25,771,3,200
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,2.0,3,19801,168,1478,7.46,771,11,80
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,2.0,10,19801,88,1811,9.15,771,170,0
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,4.0,1,19801,314,1238,6.25,584,3,199
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,4.0,3,19801,194,1478,7.46,584,35,79
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,4.0,10,19801,115,1802,9.1,584,142,0
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,8.0,1,19801,370,1238,6.25,485,5,205
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,8.0,3,19801,250,1478,7.46,485,41,85
bge_m3,raw,pct,25.0,0.6801,0.7519,75.0,1238,8.0,10,19801,165,1843,9.31,485,87,0
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,1.0,1,19801,568,2934,14.82,1018,2,469
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,1.0,3,19801,284,3502,17.69,1018,5,185
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,1.0,10,19801,99,4280,21.62,1018,94,0
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,2.0,1,19801,595,2934,14.82,683,3,471
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,2.0,3,19801,311,3502,17.69,683,6,187
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,2.0,10,19801,124,4291,21.67,683,85,0
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,4.0,1,19801,629,2934,14.82,477,3,474
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,4.0,3,19801,345,3502,17.69,477,7,190
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,4.0,10,19801,155,4316,21.8,477,69,0
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,8.0,1,19801,683,2934,14.82,350,3,484
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,8.0,3,19801,399,3502,17.69,350,9,200
bge_m3,raw,pct,50.0,0.7613,0.7519,50.0,2934,8.0,10,19801,199,4376,22.1,350,55,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,1.0,1,19801,50,0,0.0,1239,313,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,1.0,3,19801,50,0,0.0,1239,313,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,1.0,10,19801,50,0,0.0,1239,313,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,2.0,1,19801,76,0,0.0,809,227,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,2.0,3,19801,76,0,0.0,809,227,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,2.0,10,19801,76,0,0.0,809,227,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,4.0,1,19801,109,0,0.0,688,156,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,4.0,3,19801,109,0,0.0,688,156,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,4.0,10,19801,109,0,0.0,688,156,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,8.0,1,19801,167,0,0.0,406,103,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,8.0,3,19801,167,0,0.0,406,103,0
bge_m3,background,abs,0.0,0.0,0.5074,100.0,0,8.0,10,19801,167,0,0.0,406,103,0
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,1.0,1,19801,510,2735,13.81,875,2,430
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,1.0,3,19801,255,3245,16.39,875,5,175
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,1.0,10,19801,80,3992,20.16,875,152,0
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,2.0,1,19801,543,2735,13.81,589,3,434
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,2.0,3,19801,288,3245,16.39,589,5,179
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,2.0,10,19801,109,4019,20.3,589,114,0
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,4.0,1,19801,583,2735,13.81,433,3,438
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,4.0,3,19801,328,3245,16.39,433,7,183
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,4.0,10,19801,145,4048,20.44,433,77,0
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,8.0,1,19801,647,2735,13.81,350,3,452
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,8.0,3,19801,392,3245,16.39,350,9,197
bge_m3,background,abs,0.5,0.5,0.5074,53.1,2735,8.0,10,19801,195,4121,20.81,350,55,0
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,1.0,1,19801,1680,8029,40.55,305,2,1539
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,1.0,3,19801,786,9817,49.58,305,4,645
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,1.0,10,19801,141,12584,63.55,305,24,0
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,2.0,1,19801,1701,8029,40.55,299,2,1544
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,2.0,3,19801,807,9817,49.58,299,4,650
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,2.0,10,19801,157,12621,63.74,299,23,0
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,4.0,1,19801,1727,8029,40.55,234,2,1548
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,4.0,3,19801,833,9817,49.58,234,4,654
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,4.0,10,19801,179,12651,63.89,234,28,0
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,8.0,1,19801,1775,8029,40.55,135,2,1564
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,8.0,3,19801,881,9817,49.58,135,5,670
bge_m3,background,abs,0.7,0.7,0.5074,14.5,8029,8.0,10,19801,211,12737,64.33,135,24,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,1.0,1,19801,50,0,0.0,1239,313,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,1.0,3,19801,50,0,0.0,1239,313,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,1.0,10,19801,50,0,0.0,1239,313,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,2.0,1,19801,76,0,0.0,809,227,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,2.0,3,19801,76,0,0.0,809,227,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,2.0,10,19801,76,0,0.0,809,227,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,4.0,1,19801,109,0,0.0,688,156,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,4.0,3,19801,109,0,0.0,688,156,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,4.0,10,19801,109,0,0.0,688,156,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,8.0,1,19801,167,0,0.0,406,103,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,8.0,3,19801,167,0,0.0,406,103,0
bge_m3,background,pct,0.0,0.0,0.5074,100.0,0,8.0,10,19801,167,0,0.0,406,103,0
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,1.0,1,19801,228,1270,6.41,1559,3,167
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,1.0,3,19801,122,1482,7.48,1559,11,61
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,1.0,10,19801,61,1753,8.85,1559,217,0
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,2.0,1,19801,257,1270,6.41,722,3,172
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,2.0,3,19801,151,1482,7.48,722,35,66
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,2.0,10,19801,85,1771,8.94,722,174,0
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,4.0,1,19801,289,1270,6.41,544,4,172
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,4.0,3,19801,183,1482,7.48,544,57,66
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,4.0,10,19801,117,1765,8.91,544,124,0
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,8.0,1,19801,340,1270,6.41,397,9,171
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,8.0,3,19801,234,1482,7.48,397,59,65
bge_m3,background,pct,25.0,0.3847,0.5074,75.0,1270,8.0,10,19801,169,1775,8.96,397,88,0
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,1.0,1,19801,548,3017,15.24,1066,2,466
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,1.0,3,19801,271,3571,18.03,1066,5,189
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,1.0,10,19801,82,4390,22.17,1066,132,0
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,2.0,1,19801,581,3017,15.24,610,3,469
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,2.0,3,19801,304,3571,18.03,610,5,192
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,2.0,10,19801,112,4412,22.28,610,98,0
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,4.0,1,19801,615,3017,15.24,445,3,472
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,4.0,3,19801,338,3571,18.03,445,7,195
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,4.0,10,19801,143,4435,22.4,445,88,0
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,8.0,1,19801,678,3017,15.24,344,3,480
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,8.0,3,19801,401,3571,18.03,344,9,203
bge_m3,background,pct,50.0,0.5142,0.5074,50.0,3017,8.0,10,19801,198,4483,22.64,344,56,0
